<N> a e r o s o l <EOS>	a e r o s o l e <EOS>	2
<M> a f f e <EOS>	a f f e n <EOS>	1
<M> a f f e k t <EOS>	a f f e k t e <EOS>	2
<M> a f f e n b r o t b a u m <EOS>	a f f e n b r o t b ä u m e <EOS>	2
<F> a f f e n e n t e <EOS>	a f f e n e n t e n <EOS>	1
<M> a f f e n p i n s c h e r <EOS>	a f f e n p i n s c h e r <EOS>	3
<F> a f f i n i t ä t <EOS>	a f f i n i t ä t e n <EOS>	1
<N> a f f i x <EOS>	a f f i x e <EOS>	2
<M> a f f r o n t <EOS>	a f f r o n t s <EOS>	5
<M> a f r i k a n e r <EOS>	a f r i k a n e r <EOS>	3
<M> a f r o a m e r i k a n e r <EOS>	a f r o a m e r i k a n e r <EOS>	3
<N> a f t e r l e h e n <EOS>	a f t e r l e h e n <EOS>	3
<N> a f t e r s h a v e <EOS>	a f t e r s h a v e s <EOS>	5
<F> a g e n d a <EOS>	a g e n d e n <EOS>	6
<M> a g e n t <EOS>	a g e n t e n <EOS>	1
<F> a g e n t i n <EOS>	a g e n t i n n e n <EOS>	6
<F> a g g l o m e r a t i o n <EOS>	a g g l o m e r a t i o n e n <EOS>	1
<N> a g g r e g a t <EOS>	a g g r e g a t e <EOS>	2
<M> a g g r e s s o r <EOS>	a g g r e s s o r e n <EOS>	1
<M> a g i t a t o r <EOS>	a g i t a t o r e n <EOS>	1
<M> a g n o s t i k e r <EOS>	a g n o s t i k e r <EOS>	3
<M> a g o n <EOS>	a g o n e <EOS>	2
<F> a g o n i e <EOS>	a g o n i e n <EOS>	1
<F> a g o r a p h o b i e <EOS>	a g o r a p h o b i e n <EOS>	1
<M> ä g y p t e r <EOS>	ä g y p t e r <EOS>	3
<F> ä g y p t e r i n <EOS>	ä g y p t e r i n n e n <EOS>	6
<F> ä g y p t o l o g i n <EOS>	ä g y p t o l o g i n n e n <EOS>	6
<N> a h a - e r l e b n i s <EOS>	a h a - e r l e b n i s s e <EOS>	6
<F> a h l e <EOS>	a h l e n <EOS>	1
<M> a h n <EOS>	a h n e n <EOS>	1
<F> a h n d u n g <EOS>	a h n d u n g e n <EOS>	1
<M> a h n e n s c h e i n <EOS>	a h n e n s c h e i n e <EOS>	2
<F> a h n e n t a f e l <EOS>	a h n e n t a f e l n <EOS>	1
<F> a h n u n g <EOS>	a h n u n g e n <EOS>	1
<F> ä h r e <EOS>	ä h r e n <EOS>	1
<M> a i r b a g <EOS>	a i r b a g s <EOS>	5
<M> a i r p o r t <EOS>	a i r p o r t s <EOS>	5
<F> a k a d e m i e <EOS>	a k a d e m i e n <EOS>	1
<M> a k a d e m i k e r <EOS>	a k a d e m i k e r <EOS>	3
<M> a k a n t h i t <EOS>	a k a n t h i t e <EOS>	2
<F> a k e l e i <EOS>	a k e l e i e n <EOS>	1
<M> a k k o r d <EOS>	a k k o r d e <EOS>	2
<N> a k k o r d e o n <EOS>	a k k o r d e o n s <EOS>	5
<M> a k k o r d e o n s p i e l e r <EOS>	a k k o r d e o n s p i e l e r <EOS>	3
<F> a k k o r d e o n s p i e l e r i n <EOS>	a k k o r d e o n s p i e l e r i n n e n <EOS>	6
<M> a k k u <EOS>	a k k u s <EOS>	5
<M> a k k u m u l a t o r <EOS>	a k k u m u l a t o r e n <EOS>	1
<M> a k o l y t h <EOS>	a k o l y t h e n <EOS>	1
<M> a k r o b a t <EOS>	a k r o b a t e n <EOS>	1
<N> a k r o n y m <EOS>	a k r o n y m e <EOS>	2
<M> a k t <EOS>	a k t e <EOS>	2
<M> a k t e n k o f f e r <EOS>	a k t e n k o f f e r <EOS>	3
<M> a k t e n o r d n e r <EOS>	a k t e n o r d n e r <EOS>	3
<F> a k t e n t a s c h e <EOS>	a k t e n t a s c h e n <EOS>	1
<M> a k t e u r <EOS>	a k t e u r e <EOS>	2
<M> a k t i e n k u r s <EOS>	a k t i e n k u r s e <EOS>	2
<M> a k t i e n m a r k t <EOS>	a k t i e n m ä r k t e <EOS>	2
<M> a k t i o n ä r <EOS>	a k t i o n ä r e <EOS>	2
<N> a k t i o n s p o t e n t i a l <EOS>	a k t i o n s p o t e n t i a l e <EOS>	2
<M> a k t i v i s m u s <EOS>	a k t i v i s m e n <EOS>	6
<M> a k t i v i s t <EOS>	a k t i v i s t e n <EOS>	1
<F> a k t i v i s t i n <EOS>	a k t i v i s t i n n e n <EOS>	6
<F> a k t i v i t ä t <EOS>	a k t i v i t ä t e n <EOS>	1
<F> a k t i v k o h l e <EOS>	a k t i v k o h l e n <EOS>	1
<F> a k t u a l i s i e r u n g <EOS>	a k t u a l i s i e r u n g e n <EOS>	1
<M> a k u s t i k k o p p l e r <EOS>	a k u s t i k k o p p l e r <EOS>	3
<M> a k u t <EOS>	a k u t e <EOS>	2
<M> a k z e n t <EOS>	a k z e n t e <EOS>	2
<M> a l a b a s t e r <EOS>	a l a b a s t e r <EOS>	3
<M> a l a r m <EOS>	a l a r m e <EOS>	2
<F> a l a r m a n l a g e <EOS>	a l a r m a n l a g e n <EOS>	1
<N> a l a r m s i g n a l <EOS>	a l a r m s i g n a l e <EOS>	2
<M> a l a u n <EOS>	a l a u n e <EOS>	2
<M> a l b a n e r <EOS>	a l b a n e r <EOS>	3
<M> a l b i n o <EOS>	a l b i n o s <EOS>	5
<M> a l b i t <EOS>	a l b i t e <EOS>	2
<M> a l b t r a u m <EOS>	a l b t r ä u m e <EOS>	2
<N> a l b u m <EOS>	a l b e n <EOS>	6
<M> a l c h e m i s t <EOS>	a l c h e m i s t e n <EOS>	1
<M> a l d e h y d <EOS>	a l d e h y d e <EOS>	2
<M> a l e x a n d r i t <EOS>	a l e x a n d r i t e <EOS>	2
<F> a l e x i t h y m i e <EOS>	a l e x i t h y m i e n <EOS>	1
<F> a l g e <EOS>	a l g e n <EOS>	1
<M> a l g e r i e r <EOS>	a l g e r i e r <EOS>	3
<M> a l g o r i t h m u s <EOS>	a l g o r i t h m e n <EOS>	6
<N> a l i b i <EOS>	a l i b i s <EOS>	5
<N> a l k a l i h y d r o x i d <EOS>	a l k a l i h y d r o x i d e <EOS>	2
<N> a l k a l i m e t a l l <EOS>	a l k a l i m e t a l l e <EOS>	2
<N> a l k a l i m e t a l l s a l z <EOS>	a l k a l i m e t a l l s a l z e <EOS>	2
<N> a l k a l o i d <EOS>	a l k a l o i d e <EOS>	2
<N> a l k a n <EOS>	a l k a n e <EOS>	2
<N> a l k i n <EOS>	a l k i n e <EOS>	2
<M> a l k o h o l <EOS>	a l k o h o l e <EOS>	2
<M> a l k o h o l i k e r <EOS>	a l k o h o l i k e r <EOS>	3
<F> a l l e e <EOS>	a l l e e n <EOS>	1
<F> a l l e g o r i e <EOS>	a l l e g o r i e n <EOS>	1
<M> a l l e i n g a n g <EOS>	a l l e i n g ä n g e <EOS>	2
<N> a l l e r g e n <EOS>	a l l e r g e n e <EOS>	2
<F> a l l e r g i e <EOS>	a l l e r g i e n <EOS>	1
<N> a l l e r l e i <EOS>	a l l e r l e i s <EOS>	5
<M> a l l e s f r e s s e r <EOS>	a l l e s f r e s s e r <EOS>	3
<M> a l l e s k ö n n e r <EOS>	a l l e s k ö n n e r <EOS>	3
<N> a l l h e i l m i t t e l <EOS>	a l l h e i l m i t t e l <EOS>	3
<F> a l l i a n z <EOS>	a l l i a n z e n <EOS>	1
<M> a l l i g a t o r <EOS>	a l l i g a t o r e n <EOS>	1
<M> a l l i i e r t e <EOS>	a l l i i e r t e n <EOS>	1
<F> a l l o t r o p i e <EOS>	a l l o t r o p i e n <EOS>	1
<M> a l l r a d a n t r i e b <EOS>	a l l r a d a n t r i e b e <EOS>	2
<F> a l l ü r e <EOS>	a l l ü r e n <EOS>	1
<N> a l l u s i o n <EOS>	a l l u s i o n e n <EOS>	1
<F> a l m <EOS>	a l m e n <EOS>	1
<M> a l m a n a c h <EOS>	a l m a n a c h e <EOS>	2
<F> a l m h ü t t e <EOS>	a l m h ü t t e n <EOS>	1
<M> a l p e n b e w o h n e r <EOS>	a l p e n b e w o h n e r <EOS>	3
<N> a l p e n v e i l c h e n <EOS>	a l p e n v e i l c h e n <EOS>	3
<M> a l p e n v e r e i n <EOS>	a l p e n v e r e i n e <EOS>	2
<N> a l p h a <EOS>	a l p h a s <EOS>	5
<N> a l p h a t e i l c h e n <EOS>	a l p h a t e i l c h e n <EOS>	3
<F> a l p h a - v e r s i o n <EOS>	a l p h a - v e r s i o n e n <EOS>	1
<F> a l p h ü t t e <EOS>	a l p h ü t t e n <EOS>	1
<F> a l r a u n e <EOS>	a l r a u n e n <EOS>	1
<M> a l t a r m <EOS>	a l t a r m e <EOS>	2
<M> a l t b a u <EOS>	a l t b a u t e n <EOS>	6
<F> a l t e r i t ä t <EOS>	a l t e r i t ä t e n <EOS>	1
<F> a l t e r n a t i v e <EOS>	a l t e r n a t i v e n <EOS>	1
<F> a l t e r s e r s c h e i n u n g <EOS>	a l t e r s e r s c h e i n u n g e n <EOS>	1
<F> a l t e r s g r u p p e <EOS>	a l t e r s g r u p p e n <EOS>	1
<N> a l t e r s h e i m <EOS>	a l t e r s h e i m e <EOS>	2
<M> a l t e r s u n t e r s c h i e d <EOS>	a l t e r s u n t e r s c h i e d e <EOS>	2
<M> a l t e r u n g s p r o z e s s <EOS>	a l t e r u n g s p r o z e s s e <EOS>	2
<F> a l t l a s t <EOS>	a l t l a s t e n <EOS>	1
<N> a l t m a t e r i a l <EOS>	a l t m a t e r i a l i e n <EOS>	6
<M> a l t r u i s t <EOS>	a l t r u i s t e n <EOS>	1
<N> a l t w a s s e r <EOS>	a l t w a s s e r <EOS>	3
<M> a l t w e i b e r s o m m e r <EOS>	a l t w e i b e r s o m m e r <EOS>	3
<N> a l u m i n i u m b l e c h <EOS>	a l u m i n i u m b l e c h e <EOS>	2
<N> a l u m i n i u m g e s c h i r r <EOS>	a l u m i n i u m g e s c h i r r e <EOS>	2
<N> a l u m i n i u m s a l z <EOS>	a l u m i n i u m s a l z e <EOS>	2
<N> a l u m i n i u m s i l i k a t <EOS>	a l u m i n i u m s i l i k a t e <EOS>	2
<N> a l u m i n o s i l i k a t <EOS>	a l u m i n o s i l i k a t e <EOS>	2
<M> a l v e o l a r <EOS>	a l v e o l a r e <EOS>	2
<N> a m a l g a m <EOS>	a m a l g a m e <EOS>	2
<M> a m a r a n t <EOS>	a m a r a n t e n <EOS>	1
<M> a m a t e u r <EOS>	a m a t e u r e <EOS>	2
<F> a m a z o n e n a m e i s e <EOS>	a m a z o n e n a m e i s e n <EOS>	1
<M> a m a z o n i e n - t r o p f e n a m e i s e n w ü r g e r <EOS>	a m a z o n i e n - t r o p f e n a m e i s e n w ü r g e r <EOS>	3
<F> a m b i g u i t ä t <EOS>	a m b i g u i t ä t e n <EOS>	1
<M> a m b l y g o n i t <EOS>	a m b l y g o n i t e <EOS>	2
<M> a m b o s s <EOS>	a m b o s s e <EOS>	2
<F> a m b u l a n z <EOS>	a m b u l a n z e n <EOS>	1
<F> a m e i s e <EOS>	a m e i s e n <EOS>	1
<M> a m e i s e n b ä r <EOS>	a m e i s e n b ä r e n <EOS>	1
<M> a m e i s e n h a u f e n <EOS>	a m e i s e n h a u f e n <EOS>	3
<M> a m e i s e n h ü g e l <EOS>	a m e i s e n h ü g e l <EOS>	3
<M> a m e i s e n i g e l <EOS>	a m e i s e n i g e l <EOS>	3
<F> a m e i s e n k ö n i g i n <EOS>	a m e i s e n k ö n i g i n n e n <EOS>	6
<M> a m e i s e n w ü r g e r <EOS>	a m e i s e n w ü r g e r <EOS>	3
<F> a m e r i k a n e r i n <EOS>	a m e r i k a n e r i n n e n <EOS>	6
<M> a m e t h y s t <EOS>	a m e t h y s t e <EOS>	2
<M> a m i <EOS>	a m i s <EOS>	5
<N> a m i d <EOS>	a m i d e <EOS>	2
<N> a m i n <EOS>	a m i n e <EOS>	2
<F> a m m e <EOS>	a m m e n <EOS>	1
<N> a m m e n m ä r c h e n <EOS>	a m m e n m ä r c h e n <EOS>	3
<N> a m m o n i a k a t <EOS>	a m m o n i a k a t e <EOS>	2
<N> a m m o n i u m s a l z <EOS>	a m m o n i u m s a l z e <EOS>	2
<F> a m n e s t i e <EOS>	a m n e s t i e n <EOS>	1
<F> a m ö b e <EOS>	a m ö b e n <EOS>	1
<M> a m o k l a u f <EOS>	a m o k l ä u f e <EOS>	2
<M> a m o k l ä u f e r <EOS>	a m o k l ä u f e r <EOS>	3
<F> a m o k l ä u f e r i n <EOS>	a m o k l ä u f e r i n n e n <EOS>	6
<F> a m p e l <EOS>	a m p e l n <EOS>	1
<N> a m p h i b i e n f a h r z e u g <EOS>	a m p h i b i e n f a h r z e u g e <EOS>	2
<M> a m p h i p r o s t y l o s <EOS>	a m p h i p r o s t y l e n <EOS>	6
<F> a m p h o r e <EOS>	a m p h o r e n <EOS>	1
<M> a m p h o t e r <EOS>	a m p h o t e r e <EOS>	2
<F> a m p l i t u d e <EOS>	a m p l i t u d e n <EOS>	1
<F> a m p l i t u d e n m o d u l a t i o n <EOS>	a m p l i t u d e n m o d u l a t i o n e n <EOS>	1
<F> a m p u l l e <EOS>	a m p u l l e n <EOS>	1
